"","id_turma","discente","media_final","descricao","letivo","nome_docente","qtd_discentes","postura_profissional_media","postura_profissional_DP","atuacao_profissional_media","atuacao_profissional_DP","autoavaliacao_aluno_media","autoavaliacao_aluno_DP"
"13923",57585791,"f73081dbc602040814c93189278982a8","6,6","APROVADO POR NOTA",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13924",57585791,"f73081dbc602040814c93189278982a8","6,6","APROVADO POR NOTA",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13925",57585791,"f73081dbc602040814c93189278982a8","6,6","APROVADO POR NOTA",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"13932",57585791,"4066fec95cab6d5906687d8e1ca67a6e","5,1","APROVADO POR NOTA",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13933",57585791,"4066fec95cab6d5906687d8e1ca67a6e","5,1","APROVADO POR NOTA",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13934",57585791,"4066fec95cab6d5906687d8e1ca67a6e","5,1","APROVADO POR NOTA",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"13941",57585791,"1a4d306d8c8d8479c9b6ac0bc2695bf6","6,4","APROVADO POR NOTA",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13942",57585791,"1a4d306d8c8d8479c9b6ac0bc2695bf6","6,4","APROVADO POR NOTA",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13943",57585791,"1a4d306d8c8d8479c9b6ac0bc2695bf6","6,4","APROVADO POR NOTA",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"13950",57585791,"d22a5d36f46120a9dab4b739e4848b17","1,1","REPROVADO POR MÉDIA E POR FALTAS",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13951",57585791,"d22a5d36f46120a9dab4b739e4848b17","1,1","REPROVADO POR MÉDIA E POR FALTAS",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13952",57585791,"d22a5d36f46120a9dab4b739e4848b17","1,1","REPROVADO POR MÉDIA E POR FALTAS",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"13959",57585791,"2849447e693afb0816767beb8dc0a942","5,6","APROVADO POR NOTA",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13960",57585791,"2849447e693afb0816767beb8dc0a942","5,6","APROVADO POR NOTA",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13961",57585791,"2849447e693afb0816767beb8dc0a942","5,6","APROVADO POR NOTA",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"13968",57585791,"9de5a45b273eed9e848cf6f2f9340909","4,4","REPROVADO POR MÉDIA E POR FALTAS",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13969",57585791,"9de5a45b273eed9e848cf6f2f9340909","4,4","REPROVADO POR MÉDIA E POR FALTAS",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
